age,overall,potential,xg_p90,xa_p90,tackles_p90,interceptions_p90,aerial_wins_p90,pace,pressing,creativity,ball_carrying,finishing,duel_strength,injury_prone,league_jump,tactical_fit,target_team,target_league,transfer_success
31,70,70,0.265,0.032,1.048,0.061,0.484,0.511,0.392,0.578,0.467,0.676,0.412,0.17,0.9090909090909091,0.8215253968253968,Bayern Munich,Bundesliga,0
26,78,83,0.378,0.072,0.406,0.51,0.727,0.433,0.374,0.386,0.593,0.887,0.485,0.0,1.0,0.8211777777777778,Inter,Serie A,1
25,84,84,0.378,0.217,1.734,0.775,0.492,0.343,0.695,0.567,0.329,0.398,0.597,0.265,1.0,0.8487317460317461,Chelsea,Premier League,1
29,79,81,0.047,0.012,3.098,1.752,0.551,0.556,0.656,0.545,0.518,0.334,0.593,0.02,1.0315789473684212,0.93880625,Juventus,Serie A,1
21,79,84,0.057,0.086,1.12,0.81,0.511,0.633,0.899,0.669,0.329,0.791,0.481,0.075,0.8909090909090909,0.867111111111111,AC Milan,Serie A,1
30,86,92,0.943,0.227,0.077,0.537,0.973,0.437,0.6,0.413,0.449,0.922,0.469,0.04,1.1224489795918369,0.779646875,Arsenal,Premier League,1
34,90,90,0.107,0.138,1.749,1.455,0.455,0.411,0.823,0.441,0.352,0.477,0.613,0.235,1.0476190476190477,0.8319809523809523,Chelsea,Premier League,1
25,74,78,0.093,0.076,0.964,1.196,1.224,0.761,0.711,0.45,0.635,0.568,0.583,0.07,0.9090909090909091,0.8759,Bayern Munich,Bundesliga,1
26,84,92,0.139,0.103,0.747,0.454,0.941,0.384,0.688,0.648,0.42,0.577,0.732,0.0,1.0476190476190477,0.8749761904761905,Chelsea,Premier League,1
31,76,76,0.447,0.33,1.134,0.256,0.548,0.783,0.691,0.307,0.455,0.569,0.503,0.125,0.8636363636363635,0.85096875,Paris Saint-Germain,Ligue 1,1
32,86,91,0.447,0.0,0.44,0.523,1.028,0.825,0.481,0.486,0.597,0.663,0.693,0.16,1.0,0.8073875,Real Madrid,La Liga,1
25,87,87,0.339,0.43,1.489,0.776,1.098,0.286,0.599,0.959,0.4,0.68,0.501,0.0,1.0,0.8478,Arsenal,Premier League,1
29,84,84,0.118,0.087,3.257,1.733,3.262,0.58,1.0,0.283,0.599,0.436,0.817,0.245,0.8909090909090909,0.8236634920634921,Inter,Serie A,1
25,74,78,0.093,0.076,0.964,1.196,1.224,0.761,0.711,0.45,0.635,0.568,0.583,0.07,1.0,0.900490625,Liverpool,Premier League,1
26,83,86,0.042,0.171,1.976,1.266,2.631,0.548,0.636,0.787,0.39,0.542,0.9,0.0,0.9545454545454545,0.888352380952381,Atletico Madrid,La Liga,1
28,74,81,0.1,0.099,2.75,1.136,1.593,0.528,0.644,0.949,0.777,0.504,0.461,0.19,1.1224489795918369,0.9315301587301588,Chelsea,Premier League,1
25,86,86,0.029,0.251,0.403,0.785,0.0,0.768,0.62,0.639,0.785,0.496,0.409,0.095,1.0476190476190477,0.9158603174603175,Chelsea,Premier League,1
28,74,81,0.1,0.099,2.75,1.136,1.593,0.528,0.644,0.949,0.777,0.504,0.461,0.19,1.0204081632653061,0.8883875,Borussia Dortmund,Bundesliga,1
27,79,82,0.042,0.086,1.289,1.495,1.279,0.565,0.578,0.838,0.457,0.859,0.516,0.11,1.0714285714285714,0.8948625,Real Madrid,La Liga,1
25,84,94,0.621,0.222,0.989,0.106,0.579,0.665,0.466,0.62,0.316,0.655,0.565,0.135,0.9047619047619047,0.82621875,Paris Saint-Germain,Ligue 1,1
23,79,81,0.431,0.021,1.139,0.136,1.787,0.576,0.395,0.299,0.477,0.692,0.815,0.095,0.9090909090909091,0.7402062500000001,Borussia Dortmund,Bundesliga,1
36,78,78,0.289,0.032,0.308,0.428,0.823,0.62,0.618,0.516,0.308,0.848,0.605,0.335,0.9333333333333332,0.8850793650793651,Inter,Serie A,0
32,89,90,0.084,0.21,1.654,1.938,3.303,0.398,0.783,0.527,0.486,0.497,0.81,0.295,0.9090909090909091,0.834603125,Borussia Dortmund,Bundesliga,1
27,79,82,0.042,0.086,1.289,1.495,1.279,0.565,0.578,0.838,0.457,0.859,0.516,0.11,1.0204081632653061,0.863925,Borussia Dortmund,Bundesliga,1
25,72,73,0.097,0.0,1.947,1.466,1.23,0.716,0.584,0.489,0.614,0.262,0.622,0.05,1.0,0.883784126984127,Chelsea,Premier League,1
25,88,92,0.535,0.166,0.394,0.079,1.426,0.617,0.599,0.667,0.429,0.832,0.344,0.065,1.105263157894737,0.840703125,FC Barcelona,La Liga,1
30,86,92,0.943,0.227,0.077,0.537,0.973,0.437,0.6,0.413,0.449,0.922,0.469,0.04,1.0,0.8652718749999999,Juventus,Serie A,1
29,79,81,0.047,0.012,3.098,1.752,0.551,0.556,0.656,0.545,0.518,0.334,0.593,0.02,1.105263157894737,0.88005625,Real Madrid,La Liga,1
26,78,83,0.378,0.072,0.406,0.51,0.727,0.433,0.374,0.386,0.593,0.887,0.485,0.0,1.1224489795918369,0.75458125,Arsenal,Premier League,1
23,82,85,0.043,0.228,1.582,0.958,0.112,0.542,0.65,0.763,0.705,0.507,0.618,0.09,0.9047619047619047,0.9315218749999999,Paris Saint-Germain,Ligue 1,1
23,74,78,0.0,0.013,1.041,0.946,1.031,0.563,0.633,0.561,0.772,0.415,0.462,0.085,1.0,0.88839375,Liverpool,Premier League,1
34,78,78,0.023,0.021,1.025,0.069,0.391,0.606,0.456,0.704,0.54,0.793,0.605,0.44,1.05,0.8806650793650793,Atletico Madrid,La Liga,0
32,88,90,0.0,0.072,0.911,1.361,2.138,0.135,0.452,0.653,0.732,0.716,0.491,0.36,0.9545454545454545,0.867190625,Real Madrid,La Liga,1
24,69,69,0.058,0.012,1.282,1.113,2.243,0.548,0.742,0.507,0.63,0.713,0.749,0.165,0.8909090909090909,0.9184531250000001,Juventus,Serie A,1
20,80,84,0.241,0.094,1.58,0.702,0.94,0.616,0.737,0.795,0.741,0.646,0.601,0.0,1.05,0.8727125,FC Barcelona,La Liga,0
37,81,86,0.0,0.0,0.105,0.043,0.0,0.709,0.704,0.556,0.423,0.387,0.602,0.535,1.1,0.9304126984126984,Chelsea,Premier League,0
29,83,85,0.498,0.417,1.036,0.375,0.679,0.808,0.202,0.4,0.549,0.552,0.654,0.12,1.0,0.7650625,Liverpool,Premier League,0
22,81,86,0.14,0.261,0.913,0.512,0.537,0.791,0.528,0.541,0.671,0.428,0.378,0.0,1.0,0.8555468749999999,Liverpool,Premier League,1
24,80,80,0.172,0.33,1.18,0.826,0.18,0.278,0.213,0.521,0.829,0.543,0.744,0.105,0.9047619047619047,0.798440625,Paris Saint-Germain,Ligue 1,1
23,74,78,0.0,0.013,1.041,0.946,1.031,0.563,0.633,0.561,0.772,0.415,0.462,0.085,0.9545454545454545,0.8303460317460318,Atletico Madrid,La Liga,1
26,83,89,0.425,0.134,0.253,0.34,1.791,0.635,0.585,0.591,0.42,0.678,0.527,0.185,0.8636363636363635,0.868271875,Paris Saint-Germain,Ligue 1,1
24,83,88,0.256,0.206,1.358,0.0,0.745,0.654,0.512,0.684,0.456,0.603,0.837,0.0,1.0,0.911209375,Juventus,Serie A,1
21,75,75,0.049,0.173,1.725,1.829,0.0,0.605,0.239,0.427,0.506,0.389,0.657,0.0,1.0,0.7871142857142858,Atletico Madrid,La Liga,0
30,79,83,0.226,0.077,2.086,1.111,0.591,0.588,0.698,0.599,0.627,0.487,0.884,0.33,0.9693877551020408,0.850240625,Paris Saint-Germain,Ligue 1,1
31,79,79,0.129,0.041,0.728,1.378,0.802,0.337,0.492,0.496,0.512,0.324,0.522,0.49,0.9333333333333332,0.842696875,Juventus,Serie A,1
25,84,84,0.378,0.217,1.734,0.775,0.492,0.343,0.695,0.567,0.329,0.398,0.597,0.265,0.9545454545454545,0.803415625,Real Madrid,La Liga,1
25,71,73,0.085,0.0,1.573,2.259,2.11,0.445,0.818,0.373,0.667,0.521,0.846,0.245,1.0,0.8403625,Liverpool,Premier League,1
25,87,87,0.0,0.0,0.111,0.129,0.075,0.318,0.648,0.508,0.461,0.551,0.669,0.0,1.105263157894737,0.8927285714285714,Atletico Madrid,La Liga,1
23,80,80,0.114,0.073,1.966,2.718,0.434,0.619,0.818,0.556,0.357,0.346,0.456,0.0,1.0714285714285714,0.850996875,Real Madrid,La Liga,1
25,71,73,0.085,0.0,1.573,2.259,2.11,0.445,0.818,0.373,0.667,0.521,0.846,0.245,0.8909090909090909,0.8699875,Juventus,Serie A,1
21,79,84,0.057,0.086,1.12,0.81,0.511,0.633,0.899,0.669,0.329,0.791,0.481,0.075,0.8909090909090909,0.8692562500000001,Juventus,Serie A,1
29,82,84,0.208,0.175,0.369,0.388,0.049,1.0,0.832,0.472,0.607,0.33,0.461,0.295,0.9090909090909091,0.9023625,Borussia Dortmund,Bundesliga,1
25,86,86,0.029,0.251,0.403,0.785,0.0,0.768,0.62,0.639,0.785,0.496,0.409,0.095,1.0476190476190477,0.8931375,Liverpool,Premier League,0
30,74,81,0.396,0.249,1.513,0.0,0.273,0.737,0.694,0.473,0.754,0.611,0.309,0.23,1.1224489795918369,0.8455125,Manchester City,Premier League,0
22,79,79,0.078,0.052,2.988,1.242,0.419,0.621,0.65,0.275,0.689,0.459,0.59,0.0,0.9545454545454545,0.8453312500000001,FC Barcelona,La Liga,1
32,86,91,0.447,0.0,0.44,0.523,1.028,0.825,0.481,0.486,0.597,0.663,0.693,0.16,0.9523809523809523,0.837075,Borussia Dortmund,Bundesliga,0
29,73,73,0.023,0.277,1.391,0.134,1.204,0.48,0.138,0.565,0.622,0.486,0.712,0.145,1.0,0.745125,Arsenal,Premier League,1
27,79,82,0.042,0.086,1.289,1.495,1.279,0.565,0.578,0.838,0.457,0.859,0.516,0.11,1.0,0.9296,Juventus,Serie A,1
38,87,89,0.125,0.242,2.366,1.503,0.572,0.605,0.663,0.402,0.678,0.43,0.645,0.27,1.0,0.857021875,FC Barcelona,La Liga,0
26,86,94,0.045,0.017,1.978,1.468,1.778,0.65,0.691,0.793,0.62,0.4,0.534,0.0,1.0204081632653061,0.9661587301587301,Bayern Munich,Bundesliga,1
30,86,92,0.943,0.227,0.077,0.537,0.973,0.437,0.6,0.413,0.449,0.922,0.469,0.04,1.0714285714285714,0.829646875,Real Madrid,La Liga,1
29,71,72,0.006,0.092,1.805,1.519,2.526,0.669,0.258,0.326,0.412,0.769,0.772,0.035,0.9333333333333332,0.79825625,Juventus,Serie A,0
26,72,78,0.092,0.117,2.441,1.425,1.79,0.678,0.63,0.475,0.623,0.471,0.73,0.015,0.9693877551020408,0.880184375,Paris Saint-Germain,Ligue 1,1
30,79,83,0.226,0.077,2.086,1.111,0.591,0.588,0.698,0.599,0.627,0.487,0.884,0.33,0.9693877551020408,0.850240625,Paris Saint-Germain,Ligue 1,1
31,75,75,0.0,0.0,0.039,0.0,0.0,0.413,0.634,0.517,0.647,0.548,0.655,0.22,0.9523809523809523,0.863634375,Borussia Dortmund,Bundesliga,1
20,84,90,0.054,0.18,2.317,1.137,0.99,0.406,0.652,0.539,0.507,0.578,0.643,0.02,1.0,0.9166031746031746,Atletico Madrid,La Liga,1
31,85,88,0.0,0.0,0.091,0.081,0.113,0.443,0.352,0.675,0.602,0.907,0.613,0.2,0.9523809523809523,0.8145174603174603,Bayern Munich,Bundesliga,1
23,84,84,0.367,0.259,0.0,0.0,0.484,0.576,0.749,0.65,0.618,0.625,0.234,0.21,1.1578947368421053,0.867634375,Liverpool,Premier League,1
38,87,89,0.125,0.242,2.366,1.503,0.572,0.605,0.663,0.402,0.678,0.43,0.645,0.27,0.9333333333333332,0.9206156249999999,Juventus,Serie A,0
23,80,80,0.114,0.073,1.966,2.718,0.434,0.619,0.818,0.556,0.357,0.346,0.456,0.0,1.0,0.866934375,Juventus,Serie A,0
38,87,89,0.125,0.242,2.366,1.503,0.572,0.605,0.663,0.402,0.678,0.43,0.645,0.27,1.0,0.8760968253968254,Atletico Madrid,La Liga,0
25,87,87,0.0,0.0,0.111,0.129,0.075,0.318,0.648,0.508,0.461,0.551,0.669,0.0,1.0315789473684212,0.891328125,Juventus,Serie A,0
24,69,69,0.058,0.012,1.282,1.113,2.243,0.548,0.742,0.507,0.63,0.713,0.749,0.165,1.0,0.8475406249999999,Arsenal,Premier League,0
25,77,80,0.0,0.0,0.135,0.163,0.0,0.476,0.684,0.434,0.457,0.452,0.465,0.115,1.1578947368421053,0.81120625,Liverpool,Premier League,0
26,72,78,0.092,0.117,2.441,1.425,1.79,0.678,0.63,0.475,0.623,0.471,0.73,0.015,1.0204081632653061,0.8697603174603175,Bayern Munich,Bundesliga,1
22,79,79,0.142,0.0,0.957,2.334,2.695,0.399,0.647,0.723,0.641,0.206,0.776,0.005,0.9545454545454545,0.8466904761904762,Atletico Madrid,La Liga,1
34,78,78,0.023,0.021,1.025,0.069,0.391,0.606,0.456,0.704,0.54,0.793,0.605,0.44,1.1,0.821503125,Liverpool,Premier League,0
22,74,74,0.143,0.253,0.538,0.367,0.254,0.897,0.511,0.726,0.686,0.534,0.755,0.0,0.9545454545454545,0.8424142857142858,Atletico Madrid,La Liga,1
23,84,84,0.038,0.18,1.331,0.238,0.111,0.688,0.554,0.456,0.647,0.49,0.587,0.0,1.1,0.85625,Arsenal,Premier League,1
31,75,75,0.0,0.0,0.039,0.0,0.0,0.413,0.634,0.517,0.647,0.548,0.655,0.22,1.0,0.8839468749999999,Real Madrid,La Liga,1
31,85,88,0.0,0.0,0.091,0.081,0.113,0.443,0.352,0.675,0.602,0.907,0.613,0.2,0.9333333333333332,0.8947937499999999,Juventus,Serie A,1
29,84,84,0.118,0.087,3.257,1.733,3.262,0.58,1.0,0.283,0.599,0.436,0.817,0.245,1.0,0.7823625000000001,Arsenal,Premier League,1
22,79,79,0.142,0.0,0.957,2.334,2.695,0.399,0.647,0.723,0.641,0.206,0.776,0.005,1.0,0.8750015873015873,Chelsea,Premier League,1
31,73,73,0.0,0.0,0.063,0.005,0.059,0.685,0.661,0.526,0.452,0.632,0.578,0.215,1.0476190476190477,0.8298968750000001,Manchester City,Premier League,0
26,72,78,0.092,0.117,2.441,1.425,1.79,0.678,0.63,0.475,0.623,0.471,0.73,0.015,1.0204081632653061,0.8697603174603175,Bayern Munich,Bundesliga,1
25,87,87,0.339,0.43,1.489,0.776,1.098,0.286,0.599,0.959,0.4,0.68,0.501,0.0,0.8909090909090909,0.8941250000000001,Juventus,Serie A,1
28,74,81,0.1,0.099,2.75,1.136,1.593,0.528,0.644,0.949,0.777,0.504,0.461,0.19,1.1224489795918369,0.9315301587301588,Chelsea,Premier League,1
32,85,89,0.179,0.282,0.552,0.69,0.401,0.612,0.515,0.365,0.708,0.286,0.663,0.51,1.0,0.839725,Arsenal,Premier League,0
25,77,80,0.0,0.0,0.135,0.163,0.0,0.476,0.684,0.434,0.457,0.452,0.465,0.115,1.105263157894737,0.84470625,FC Barcelona,La Liga,1
29,79,81,0.047,0.012,3.098,1.752,0.551,0.556,0.656,0.545,0.518,0.334,0.593,0.02,1.1578947368421053,0.84049375,Liverpool,Premier League,1
24,69,69,0.058,0.012,1.282,1.113,2.243,0.548,0.742,0.507,0.63,0.713,0.749,0.165,0.8909090909090909,0.9184531250000001,Juventus,Serie A,1
25,84,94,0.621,0.222,0.989,0.106,0.579,0.665,0.466,0.62,0.316,0.655,0.565,0.135,0.9523809523809523,0.8199687500000001,Borussia Dortmund,Bundesliga,1
29,73,73,0.023,0.277,1.391,0.134,1.204,0.48,0.138,0.565,0.622,0.486,0.712,0.145,0.9090909090909091,0.7933714285714285,Bayern Munich,Bundesliga,1
21,79,84,0.057,0.086,1.12,0.81,0.511,0.633,0.899,0.669,0.329,0.791,0.481,0.075,0.9545454545454545,0.82988125,Real Madrid,La Liga,1
26,81,81,0.0,0.0,0.0,0.049,0.039,0.489,0.462,0.543,0.592,0.399,0.659,0.0,1.1,0.8657587301587302,Chelsea,Premier League,1
25,87,87,0.0,0.0,0.111,0.129,0.075,0.318,0.648,0.508,0.461,0.551,0.669,0.0,1.1578947368421053,0.801921875,Arsenal,Premier League,1
25,84,84,0.378,0.217,1.734,0.775,0.492,0.343,0.695,0.567,0.329,0.398,0.597,0.265,1.0,0.780915625,Liverpool,Premier League,1
23,84,84,0.038,0.18,1.331,0.238,0.111,0.688,0.554,0.456,0.647,0.49,0.587,0.0,1.05,0.8325,FC Barcelona,La Liga,1
20,84,90,0.054,0.18,2.317,1.137,0.99,0.406,0.652,0.539,0.507,0.578,0.643,0.02,1.0,0.9166031746031746,Atletico Madrid,La Liga,0
24,79,81,0.348,0.146,0.751,0.371,2.224,0.511,0.333,0.561,0.471,0.735,0.553,0.0,0.8909090909090909,0.8553111111111111,Inter,Serie A,0
26,84,92,0.139,0.103,0.747,0.454,0.941,0.384,0.688,0.648,0.42,0.577,0.732,0.0,1.0476190476190477,0.813634375,Liverpool,Premier League,1
33,85,88,0.109,0.301,0.696,1.031,0.0,0.431,0.604,0.686,0.643,0.783,0.742,0.465,1.0,0.8259062500000001,FC Barcelona,La Liga,1
23,84,84,0.367,0.259,0.0,0.0,0.484,0.576,0.749,0.65,0.618,0.625,0.234,0.21,1.1578947368421053,0.891071875,Arsenal,Premier League,1
23,72,75,0.075,0.088,1.365,1.105,0.94,0.571,0.704,0.536,0.574,0.644,0.504,0.0,1.0,0.880734375,Arsenal,Premier League,1
26,81,81,0.0,0.0,0.0,0.049,0.039,0.489,0.462,0.543,0.592,0.399,0.659,0.0,1.0,0.8467111111111111,Bayern Munich,Bundesliga,0
21,79,84,0.057,0.086,1.12,0.81,0.511,0.633,0.899,0.669,0.329,0.791,0.481,0.075,0.8636363636363635,0.7939437500000001,Paris Saint-Germain,Ligue 1,1
30,73,73,0.416,0.027,0.195,0.71,2.45,0.75,0.728,0.397,0.271,0.715,0.69,0.25,1.1,0.761559375,Manchester City,Premier League,1
29,73,73,0.023,0.277,1.391,0.134,1.204,0.48,0.138,0.565,0.622,0.486,0.712,0.145,0.9090909090909091,0.75425,Borussia Dortmund,Bundesliga,0
31,76,77,0.586,0.0,0.301,0.685,1.989,0.513,0.209,0.646,0.533,0.548,0.569,0.16,1.0714285714285714,0.774815625,FC Barcelona,La Liga,1
26,80,83,0.611,0.129,0.023,0.0,0.418,0.58,0.602,0.843,0.862,0.71,0.574,0.0,0.9090909090909091,0.8992875,Borussia Dortmund,Bundesliga,1
23,75,75,0.485,0.262,0.552,0.51,0.497,0.487,0.418,0.55,0.787,0.351,0.555,0.0,0.8909090909090909,0.8667936507936508,Inter,Serie A,1
29,86,90,0.126,0.054,2.247,1.579,3.307,0.59,0.678,0.385,0.655,0.347,0.611,0.255,1.1578947368421053,0.8693906250000001,Manchester City,Premier League,1
25,74,78,0.093,0.076,0.964,1.196,1.224,0.761,0.711,0.45,0.635,0.568,0.583,0.07,1.0,0.8949476190476191,Chelsea,Premier League,0
28,78,81,0.129,0.128,1.227,0.6,0.956,0.559,0.405,0.592,0.538,0.82,0.684,0.16,0.95,0.803253125,Paris Saint-Germain,Ligue 1,1
31,76,77,0.586,0.0,0.301,0.685,1.989,0.513,0.209,0.646,0.533,0.548,0.569,0.16,1.1224489795918369,0.777471875,Liverpool,Premier League,1
31,73,73,0.0,0.0,0.063,0.005,0.059,0.685,0.661,0.526,0.452,0.632,0.578,0.215,1.0,0.8992809523809524,Atletico Madrid,La Liga,0
32,86,91,0.447,0.0,0.44,0.523,1.028,0.825,0.481,0.486,0.597,0.663,0.693,0.16,0.9333333333333332,0.848479365079365,AC Milan,Serie A,1
24,86,86,0.043,0.064,1.286,0.494,2.532,0.472,0.433,0.637,0.629,0.326,0.835,0.035,0.9333333333333332,0.8724999999999999,Juventus,Serie A,1
24,77,79,0.242,0.0,0.363,0.023,0.213,0.754,0.218,0.602,0.728,0.677,0.633,0.005,1.0,0.741515625,Manchester City,Premier League,1
26,79,79,0.611,0.027,0.0,0.347,2.532,0.364,0.343,0.47,0.363,0.762,0.48,0.0,1.1224489795918369,0.7042875,Manchester City,Premier League,1
32,85,89,0.179,0.282,0.552,0.69,0.401,0.612,0.515,0.365,0.708,0.286,0.663,0.51,0.9090909090909091,0.8386698412698412,Bayern Munich,Bundesliga,1
32,85,89,0.179,0.282,0.552,0.69,0.401,0.612,0.515,0.365,0.708,0.286,0.663,0.51,1.0,0.8577174603174603,Chelsea,Premier League,1
25,86,86,0.029,0.251,0.403,0.785,0.0,0.768,0.62,0.639,0.785,0.496,0.409,0.095,1.0476190476190477,0.8931375,Liverpool,Premier League,1
30,73,73,0.416,0.027,0.195,0.71,2.45,0.75,0.728,0.397,0.271,0.715,0.69,0.25,0.98,0.9001793650793651,Inter,Serie A,1
23,84,84,0.367,0.259,0.0,0.0,0.484,0.576,0.749,0.65,0.618,0.625,0.234,0.21,1.0315789473684212,0.8854079365079365,Inter,Serie A,1
28,74,81,0.1,0.099,2.75,1.136,1.593,0.528,0.644,0.949,0.777,0.504,0.461,0.19,1.0204081632653061,0.8883875,Borussia Dortmund,Bundesliga,1
23,89,89,0.188,0.285,1.467,1.053,1.115,0.619,0.705,0.621,0.664,0.584,0.63,0.0,0.9545454545454545,0.9134619047619048,Atletico Madrid,La Liga,1
24,87,94,0.608,0.091,0.501,0.368,1.669,0.869,0.747,0.534,0.603,0.815,0.568,0.11,1.0204081632653061,0.8332126984126984,Bayern Munich,Bundesliga,1
24,83,88,0.256,0.206,1.358,0.0,0.745,0.654,0.512,0.684,0.456,0.603,0.837,0.0,1.0714285714285714,0.847046875,Real Madrid,La Liga,1
30,74,74,0.162,0.064,1.261,0.641,1.689,0.476,0.631,0.399,0.656,0.649,0.788,0.225,1.0476190476190477,0.8608714285714286,Chelsea,Premier League,0
37,81,86,0.0,0.0,0.105,0.043,0.0,0.709,0.704,0.556,0.423,0.387,0.602,0.535,1.1,0.9304126984126984,Chelsea,Premier League,0
20,80,84,0.241,0.094,1.58,0.702,0.94,0.616,0.737,0.795,0.741,0.646,0.601,0.0,1.05,0.8727125,FC Barcelona,La Liga,0
28,86,86,0.392,0.029,0.774,0.0,0.001,0.611,0.231,0.639,0.777,0.314,0.451,0.025,1.0,0.847563492063492,Bayern Munich,Bundesliga,1
26,83,86,0.042,0.171,1.976,1.266,2.631,0.548,0.636,0.787,0.39,0.542,0.9,0.0,1.0,0.8676253968253969,Chelsea,Premier League,1
28,78,81,0.129,0.128,1.227,0.6,0.956,0.559,0.405,0.592,0.538,0.82,0.684,0.16,1.1,0.8276460317460317,Chelsea,Premier League,1
25,84,94,0.621,0.222,0.989,0.106,0.579,0.665,0.466,0.62,0.316,0.655,0.565,0.135,1.0476190476190477,0.79809375,Liverpool,Premier League,1
23,84,84,0.038,0.18,1.331,0.238,0.111,0.688,0.554,0.456,0.647,0.49,0.587,0.0,1.1,0.8375000000000001,Manchester City,Premier League,1
24,87,94,0.608,0.091,0.501,0.368,1.669,0.869,0.747,0.534,0.603,0.815,0.568,0.11,1.0714285714285714,0.77485625,FC Barcelona,La Liga,1
28,86,86,0.392,0.029,0.774,0.0,0.001,0.611,0.231,0.639,0.777,0.314,0.451,0.025,0.98,0.812778125,Juventus,Serie A,1
26,83,86,0.042,0.171,1.976,1.266,2.631,0.548,0.636,0.787,0.39,0.542,0.9,0.0,0.9545454545454545,0.888352380952381,Atletico Madrid,La Liga,1
29,71,72,0.006,0.092,1.805,1.519,2.526,0.669,0.258,0.326,0.412,0.769,0.772,0.035,0.9333333333333332,0.7950095238095238,Inter,Serie A,1
34,79,85,0.5,0.496,0.918,1.301,0.363,0.149,0.609,0.934,0.461,0.493,0.437,0.27,1.05,0.7901047619047619,Atletico Madrid,La Liga,1
25,87,87,0.0,0.0,0.111,0.129,0.075,0.318,0.648,0.508,0.461,0.551,0.669,0.0,1.1578947368421053,0.8571412698412698,Chelsea,Premier League,1
22,81,86,0.14,0.261,0.913,0.512,0.537,0.791,0.528,0.541,0.671,0.428,0.378,0.0,0.9545454545454545,0.849953125,FC Barcelona,La Liga,0
24,79,81,0.348,0.146,0.751,0.371,2.224,0.511,0.333,0.561,0.471,0.735,0.553,0.0,0.9545454545454545,0.8524984126984128,Atletico Madrid,La Liga,1
31,73,73,0.0,0.0,0.063,0.005,0.059,0.685,0.661,0.526,0.452,0.632,0.578,0.215,1.0,0.8992809523809524,Atletico Madrid,La Liga,1
31,85,88,0.0,0.0,0.091,0.081,0.113,0.443,0.352,0.675,0.602,0.907,0.613,0.2,1.0476190476190477,0.77604375,Liverpool,Premier League,0
36,78,78,0.289,0.032,0.308,0.428,0.823,0.62,0.618,0.516,0.308,0.848,0.605,0.335,1.0476190476190477,0.75763125,Manchester City,Premier League,0
23,80,80,0.114,0.073,1.966,2.718,0.434,0.619,0.818,0.556,0.357,0.346,0.456,0.0,0.9693877551020408,0.846309375,Paris Saint-Germain,Ligue 1,1
30,73,73,0.416,0.027,0.195,0.71,2.45,0.75,0.728,0.397,0.271,0.715,0.69,0.25,1.1,0.761559375,Manchester City,Premier League,1
31,79,79,0.129,0.041,0.728,1.378,0.802,0.337,0.492,0.496,0.512,0.324,0.522,0.49,0.9047619047619047,0.823321875,Paris Saint-Germain,Ligue 1,1
28,72,78,0.0,0.0,0.082,0.0,0.067,0.488,0.337,0.617,0.62,0.32,0.584,0.175,1.1224489795918369,0.8609301587301588,Chelsea,Premier League,1
31,73,73,0.0,0.0,0.063,0.005,0.059,0.685,0.661,0.526,0.452,0.632,0.578,0.215,0.9523809523809523,0.8837825396825397,Bayern Munich,Bundesliga,1
